category,characteristic,exec_rate,n,n_exec
Age,56-65,36.36363636363637,11,4
First team scale,"Large, established design organization (21+)",23.809523809523807,21,5
Education,Master's+ in design,21.27659574468085,47,10
Formal training,4,20.689655172413794,29,6
First org type,Corporate / in-house,20.0,45,9
Formal training,2,20.0,20,4
Background,Arts / humanities,17.5,40,7
Gender,Male,17.46031746031746,63,11
Background,Design-specific track,17.142857142857142,35,6
Natural leadership,High natural leadership (4-5),16.901408450704224,71,12
First job,as a designer,16.666666666666664,72,12
Education,Other design education,16.666666666666664,6,1
First org type,NGO / non-profit,16.666666666666664,6,1
Age,46-55,16.666666666666664,54,9
First team scale,Solo designer (I was the only designer in the organization),15.0,20,3
Formal training,3,14.814814814814813,27,4
Mentor influence,High mentor influence (4-5),14.285714285714285,56,8
Mentor influence,Low mentor influence (1-3),14.285714285714285,63,9
First team scale,Small team (2–5 designers),14.035087719298245,57,8
First org type,Freelance / independent,12.5,8,1
Education,Undergrad design degree,11.904761904761903,42,5
First job,in a different profession / industry,10.638297872340425,47,5
Natural leadership,Low natural leadership (1-3),10.416666666666668,48,5
Background,Social sciences,10.0,10,1
First org type,Startup,10.0,10,1
Age,36-45,9.523809523809524,42,4
Gender,Female,9.25925925925926,54,5
Background,Engineering / CS,9.090909090909092,22,2
First org type,Agency / consultancy,8.695652173913043,46,4
Background,Other non-design background,8.333333333333332,12,1
Formal training,1,8.0,25,2
Formal training,5,5.555555555555555,18,1
First team scale,Mid-size team (6–20 designers),4.761904761904762,21,1
Education,No formal design education,4.166666666666666,24,1
Age,24-35,0.0,11,0
