category,characteristic,founder_rate,n,n_founders
First org,Freelance,37.5,8,3
First org,NGO,16.666666666666664,6,1
Age,46-55,12.962962962962962,54,7
Background,Business,12.5,8,1
Education,No formal,12.5,24,3
Gender,Female,11.11111111111111,54,6
Education,Master's+,10.638297872340425,47,5
Background,Arts/humanities,10.256410256410255,39,4
Age,56-65,9.090909090909092,11,1
Background,Design track,8.571428571428571,35,3
First org,Corporate,6.666666666666667,45,3
Gender,Male,4.761904761904762,63,3
First org,Agency,4.3478260869565215,46,2
Education,Undergrad,2.380952380952381,42,1
Age,36-45,2.380952380952381,42,1
First org,Startup,0.0,10,0
Age,24-35,0.0,11,0
Background,Engineering/CS,0.0,14,0
