dimension,group,n,mean,median,pct_high
Age,24-35,11,4.545454545454546,5.0,90.9090909090909
Age,36-45,42,4.595238095238095,5.0,95.23809523809523
Age,46-55,54,4.611111111111111,5.0,92.5925925925926
Age,56-65,11,4.363636363636363,4.0,90.9090909090909
Gender,Male,63,4.444444444444445,5.0,88.88888888888889
Gender,Female,54,4.722222222222222,5.0,98.14814814814815
Region,North America,85,4.588235294117647,5.0,92.94117647058823
Region,Other regions,34,4.529411764705882,5.0,94.11764705882352
Career Level,IC,14,4.428571428571429,5.0,85.71428571428571
Career Level,Manager,39,4.666666666666667,5.0,97.43589743589743
Career Level,Director,32,4.625,5.0,93.75
Career Level,VP,12,4.416666666666667,4.5,91.66666666666666
Career Level,CDO / chief,5,4.8,5.0,100.0
Career Level,Consulting / founder,9,4.333333333333333,4.0,88.88888888888889
Education,Master's+ in design,47,4.48936170212766,5.0,93.61702127659575
Education,Undergrad design,42,4.619047619047619,5.0,90.47619047619048
Education,No formal design edu,24,4.625,5.0,95.83333333333334
Career Entry,Started as designer,72,4.611111111111111,5.0,93.05555555555556
Career Entry,Career switcher,47,4.51063829787234,5.0,93.61702127659575
Career Trajectory,Advance,43,4.674418604651163,5.0,97.67441860465115
Career Trajectory,Stay at level,16,4.1875,4.0,81.25
Career Trajectory,Unsure,14,4.642857142857143,5.0,92.85714285714286
