Timestamp,Select the age range that applies,In what region do you currently live / work?,What gender do you identify with?,How many years have you been a professional designer? (regardless of career level),"Before starting your design career, what was your primary academic or professional trajectory?",What is the highest level of design education you have completed?,When did you first consider design as a career path,"When you first considered design as a career path, what was your level of confidence in your decision?",How supportive were the people around you about pursuing design as career?,To what degree do you feel like you displayed natural qualities of leadership when you were growing up?,How would you describe your entry into design as a career?,"How much do you agree with the following statement: ""Someone actively invited or guided me into the design field (e.g., a mentor, professor, or peer).""",Was your first career job as a designer or in a different profession/industry?, How would you describe the scale of the first design team you worked in?, How would you describe the type of organization you first worked in as a designer?, How would you describe the design discipline / practice of your first professional design job?,What career level best describes your current position?,How long have you been in your current role?,What is the title of the person who you report to?,"When you began your current role, to what degree were you sufficiently onboarded or trained? ","As you've advanced in your career, how much have coaches, mentors, or sponsors influenced your journey? ","As you've advanced in your carer, have you received formal training in management or leadership? ",Which of the following have been major setbacks in your career [select all that apply],How many years into your career did you first hold a formal design leadership role? (i.e. managing people or leading a project/initiative),"In your current role, how many designers report up to you? (directly or indirectly)","Do you manage employees outside of design (i.e., engineers, product managers, etc)? If so, how many and what functions? ",Which factors have been most important to you advancing in your career as a design leader? [select at most 3],"In the next 5 years, how do you expect the global design industry to evolve?","In the next 5 years, how much do you expect your tool stack to change?","In the next 5 years, which direction best describes your intended career trajectory? ",How much are you actively investing in your own career aspirations?,How much are you actively developing successors or next-generation leaders in your team or org?,How many people have you mentored in the past 3 years? (rough estimate),"Outside of your primary role, are you currently engaged in any of the following? (Select all that apply)","If you'd like to be interviewed for the project as well, please leave your email."
3/6/2026 15:40:09,24-35,Africa,Male,5,Engineering / Computer Science,I hold an undergraduate degree in design,It was my childhood dream,5,5,5,A single defining moment or experience,5,My first job was as a designer.,"Large, established design organization (21+)",Agency / Consultancy,"Brand Design, Graphic Design, Digital product Design, UX Research, UI Design, Design Ops, Industrial Design, Service Design, Communication Design, Spatial Design, Design Strategy, Interior Design, Content Design, Editorial Design",Staff level designer,2,Manager ,5,5,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, Contracted design job market industry-wide",4,2,"29, through management ","Proven business or user outcomes, Budget or scope of management, Sponsorship or advocacy from senior leaders",5,5,advance to the next career level,5,5,100,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Community organizing or design advocacy, Social media / content creation",
3/6/2026 8:44:49,36-45,Asia,Female,16,"Psychology, Fine Art, Animation & Multimedia",I hold a Master's degree or higher in design.,It was my childhood dream,5,5,4,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,Small team (2–5 designers),Corporate (In-house),"Digital product Design, UX Research, Design Ops, Service Design, Interaction Design, Spatial Design, Design Strategy",Creative Director (consulting / design services),5 years,EVP,2,1,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",8,18,No,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Business accumen",4,4,advance to the next career level,4,3,10,"Writing (blog, book, articles), Attending conferences and events, Side projects or freelance work, Building a company or startup",
3/6/2026 8:57:33,36-45,Asia,Male,18,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,During undergraduate studies,4,3,3,A natural continuation of what I'd always been doing,1,My first job was as a designer.,Mid-size team (6–20 designers),Corporate (In-house),"Digital product Design, UI Design",Senior IC / Principal designer,7 months ,Senior director ,4,5,4,Layoffs / Contraction at my company,4,4,No,"Proven business or user outcomes, Awards or recognition, Relationships with key stakeholders",2,5,continue at current level,5,4,6,"Teaching or lecturing, Mentoring or coaching (informal)",
3/6/2026 20:04:19,36-45,Asia,Female,13,Engineering / Computer Science,I did not study design formally.,During undergraduate studies,4,3,2,An unexpected opportunity I hadn't planned for,1,My first job was as a designer.,Small team (2–5 designers),Startup,Digital product Design,Senior IC / Principal designer,5,"Deputy Director for Product (in civil service, but they behave like GMs for the business line)",3,4,2,Burnout,4,7,0,"Proven business or user outcomes, Speaking at conferences or industry events, Business accumen",3,5,advance to the next career level,4,4,5,"Mentoring or coaching (informal), Side projects or freelance work",
3/9/2026 4:49:05,46-55,Asia,Male,22,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,During undergraduate studies,4,5,1,A single defining moment or experience,1,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,Webmaster,Director level designer,2,CEO,1,2,2,"Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",6,1,None,"Proven business or user outcomes, Case studies with measurable business results, Relationships with key stakeholders",5,5,advance to the next career level,5,2,6,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Side projects or freelance work, Social media / content creation",
3/5/2026 20:04:17,36-45,Australia / NZ / Pacific Islands,Female,12,"Social Sciences (Psychology, Sociology, Anthropology)",I did not study design formally.,Mid-career pivot (3+ years into a different field),5,3,2,An unexpected opportunity I hadn't planned for,1,My first job was in a different profession / industry.,"Large, established design organization (21+)",Corporate (In-house),"UX Research, Service Design, Communication Design, Design Strategy, Behavioural science/design",CX strategist with behavioural/user research expertise ,4,Head of Experience Strategy ,1,4,1,"Layoffs / Contraction at my company, Project or product being cancelled, Under-compensation or financial pressure, Lack of growth opportunities at my company, Regulatory focus in financial services constantly prioritised over CX or design",10,None directly. Designers work on my projects on a case by case basis. Im in a design practice of 40.,As above but with insights,"Proven business or user outcomes, Case studies with measurable business results, Relationships with key stakeholders",3,4,advance to the next career level,4,2,3,Attending conferences and events,
3/5/2026 15:42:33,46-55,Australia / Pacific Islands,Female,15 years,Arts / Fine Arts / Humanities,I did not study design formally.,Mid-career pivot (3+ years into a different field),3,4,4,An unexpected opportunity I hadn't planned for,4,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),NGO / Non-profit,Service Design,Partner (consulting / design services),5,n/a,1,2,1,organisational maturity around the value of design,8,2 + project dependent contractors,1 - Marketing,"Proven business or user outcomes, Published writing or thought leadership, Business accumen",4,3,continue at current level,5,3,20,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Building a company or startup, Community organizing or design advocacy, Social media / content creation",
3/5/2026 16:13:15,46-55,Australia / Pacific Islands,Female,18,Business / Economics,I hold a degree in design from a community college.,During undergraduate studies,4,4,5,A natural continuation of what I'd always been doing,2,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,"Graphic Design, Digital product Design, Service Design, Content Design",Director level designer,2,General Manager,2,3,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Lack of growth opportunities at my company, Burnout",6,14,Advise not manage in the role of program delivery,"Speaking at conferences or industry events, Sponsorship or advocacy from senior leaders, Business accumen",4,5,Experimenting on new business and exec roles in fractional consulting or new emerging roles in RAI,5,5,6,"Writing (blog, book, articles), Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Community organizing or design advocacy",
3/5/2026 19:43:36,24-35,Australia / Pacific Islands,Female,8,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,2,5,2,A single defining moment or experience,5,My first job was in a different profession / industry.,Mid-size team (6–20 designers),Corporate (In-house),Service Design,Senior design manager (managing multiple teams),4 years,Head of CX,2,5,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Burnout",4,6,"Yes, BA and Engineers. 5 or 6 at a time.","Proven business or user outcomes, Case studies with measurable business results, Relationships with key stakeholders",5,5,advance to the next career level,3,5,2,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Community organizing or design advocacy",
3/5/2026 16:25:09,56-65,Europe,Male,35,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Before college/university,2,5,3,A single defining moment or experience,4,My first job was as a designer.,"Large, established design organization (21+)",Corporate (In-house),"Graphic Design, Digital product Design, UI Design, Industrial Design, Interaction Design, Design Strategy",Chief Design Officer,8 yrs,Operating commitee (BoM),5,2,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled",5,200,20 in Branding,"Previous team size or headcount managed, Budget or scope of management, Business accumen",4,4,retirement,3,5,5,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Community organizing or design advocacy",
